100,2
200,5
300,12
400,20
500,35
600,46
700,73
800,87
900,116
1000,128
1100,165
1200,177
1300,208
1400,252
1500,292
1600,326
1700,343
1800,399
1900,452
2000,493
2100,533
2200,577
2300,631
2400,682
2500,741
2600,785
2700,863
2800,944
2900,1140
3000,1154
3100,1140
3200,1213
3300,1292
3400,1377
3500,1455
3600,1560
3700,1635
3800,1708
3900,1825
4000,1928
4100,2099
4200,2058
4300,2176
4400,2291
4500,2419
4600,2515
4700,2609
4800,2755
4900,2876
5000,3002
5100,3069
5200,3168
5300,3274
5400,3465
5500,3641
5600,3736
5700,3850
5800,3950
5900,4154
6000,4313
6100,4466
6200,4632
6300,4693
6400,4826
6500,4998
6600,5151
6700,5354
6800,5507
6900,5687
7000,5817
7100,5974
7200,6194
7300,6362
7400,6436
7500,6599
7600,6904
7700,7018
7800,7282
7900,7416
8000,7647
8100,7792
8200,7943
8300,8160
8400,8357
8500,8499
8600,8677
8700,8971
8800,9797
8900,9417
9000,9591
9100,9789
9200,10082
9300,10202
9400,10564
9500,10754
9600,10888
9700,11202
9800,11373
9900,11753
