100,3
200,11
300,23
400,41
500,68
600,95
700,126
800,161
900,214
1000,242
1100,312
1200,378
1300,426
1400,494
1500,555
1600,642
1700,715
1800,814
1900,869
2000,940
2100,1074
2200,1181
2300,1226
2400,1366
2500,1485
2600,1623
2700,1743
2800,1902
2900,2083
3000,2210
3100,2292
3200,2453
3300,2622
3400,2786
3500,3035
3600,3141
3700,3367
3800,3500
3900,3659
4000,3860
4100,4157
4200,4251
4300,4497
4400,4630
4500,4893
4600,5147
4700,5326
4800,5610
4900,5684
5000,6009
5100,6306
5200,6457
5300,6801
5400,7019
5500,7165
5600,7547
5700,7827
5800,8110
5900,8426
6000,8643
6100,8905
6200,9265
6300,9624
6400,9743
6500,10039
6600,10343
6700,11034
6800,11087
6900,11642
7000,11585
7100,12248
7200,12443
7300,12820
7400,12935
7500,13286
7600,13643
7700,14011
7800,14502
7900,14755
8000,15139
8100,15379
8200,16493
8300,16573
8400,16709
8500,17089
8600,17521
8700,17972
8800,18271
8900,18767
9000,19042
9100,19513
9200,20066
9300,20591
9400,20914
9500,21349
9600,22027
9700,22659
9800,22914
9900,23337
