10000,126
20000,260
30000,342
40000,440
50000,544
60000,659
70000,771
80000,900
90000,997
100000,1090
110000,1211
120000,1330
130000,1452
140000,1625
150000,1693
160000,1806
170000,1894
180000,1997
190000,2129
200000,2215
210000,2336
220000,2428
230000,2532
240000,2640
250000,2781
260000,2847
270000,3006
280000,3116
290000,3287
300000,3404
310000,3458
320000,3593
330000,3719
340000,3860
350000,3959
360000,4059
370000,4168
380000,4328
390000,4435
400000,4567
410000,4656
420000,4803
430000,4921
440000,5164
450000,5126
460000,5196
470000,5355
480000,5476
490000,5543
500000,5598
510000,5761
520000,5889
530000,6110
540000,6060
550000,6299
560000,6279
570000,6453
580000,6648
590000,6787
600000,6825
610000,6901
620000,7053
630000,7184
640000,7300
650000,8621
660000,8362
670000,8103
680000,8086
690000,8300
700000,8370
710000,8210
720000,8199
730000,8389
740000,8516
750000,8757
760000,8850
770000,8797
780000,9249
790000,9071
800000,9237
810000,9182
820000,9538
830000,9633
840000,9758
850000,9706
860000,9888
870000,9909
880000,9907
890000,10114
900000,10200
910000,10367
920000,10324
930000,10483
940000,10479
950000,10756
960000,10902
970000,10920
980000,11057
990000,11120
