10000,19
20000,36
30000,55
40000,67
50000,79
60000,94
70000,110
80000,127
90000,137
100000,150
110000,159
120000,182
130000,193
140000,214
150000,224
160000,237
170000,257
180000,276
190000,286
200000,310
210000,310
220000,340
230000,355
240000,362
250000,389
260000,393
270000,402
280000,409
290000,419
300000,442
310000,466
320000,469
330000,483
340000,497
350000,532
360000,551
370000,543
380000,590
390000,591
400000,593
410000,637
420000,620
430000,637
440000,645
450000,652
460000,690
470000,702
480000,733
490000,727
500000,750
510000,753
520000,778
530000,828
540000,817
550000,838
560000,833
570000,845
580000,867
590000,884
600000,912
610000,896
620000,901
630000,907
640000,969
650000,935
660000,956
670000,976
680000,972
690000,1015
700000,1031
710000,1047
720000,1064
730000,1081
740000,1069
750000,1104
760000,1095
770000,1141
780000,1171
790000,1208
800000,1208
810000,1251
820000,1231
830000,1247
840000,1234
850000,1333
860000,1307
870000,1312
880000,1336
890000,1365
900000,1381
910000,1370
920000,1399
930000,1390
940000,1416
950000,1490
960000,1439
970000,1526
980000,1499
990000,1467
